Time  PID  Old State  New State 
0     1    New        Ready     
0     1    Ready      Running   
1     1    Running    Waiting   
2     1    Waiting    Ready     
2     1    Ready      Running   
3     2    New        Ready     
3     1    Running    Waiting   
3     2    Ready      Running   
4     1    Waiting    Ready     
4     2    Running    Waiting   
4     1    Ready      Running   
5     2    Waiting    Ready     
5     1    Running    Waiting   
5     2    Ready      Running   
6     1    Waiting    Ready     
6     2    Running    Waiting   
6     1    Ready      Running   
7     2    Waiting    Ready     
7     1    Running    Waiting   
7     2    Ready      Running   
8     3    New        Ready     
8     1    Waiting    Ready     
8     2    Running    Waiting   
8     3    Ready      Running   
9     2    Waiting    Ready     
9     3    Running    Waiting   
9     1    Ready      Running   
10    3    Waiting    Ready     
10    1    Running    Waiting   
10    2    Ready      Running   
11    4    New        Ready     
11    1    Waiting    Ready     
11    2    Running    Waiting   
11    3    Ready      Running   
12    2    Waiting    Ready     
12    3    Running    Waiting   
12    4    Ready      Running   
13    5    New        Ready     
13    3    Waiting    Ready     
13    4    Running    Waiting   
13    1    Ready      Running   
14    4    Waiting    Ready     
14    1    Running    Waiting   
14    2    Ready      Running   
15    1    Waiting    Ready     
15    2    Running    Waiting   
15    5    Ready      Running   
16    2    Waiting    Ready     
16    5    Running    Waiting   
16    3    Ready      Running   
17    5    Waiting    Ready     
17    3    Running    Waiting   
17    4    Ready      Running   
18    3    Waiting    Ready     
18    4    Running    Waiting   
18    1    Ready      Running   
19    4    Waiting    Ready     
19    1    Running    Waiting   
19    2    Ready      Running   
20    1    Waiting    Ready     
20    2    Running    Waiting   
20    5    Ready      Running   
21    2    Waiting    Ready     
21    5    Running    Waiting   
21    3    Ready      Running   
22    5    Waiting    Ready     
22    3    Running    Waiting   
22    4    Ready      Running   
23    3    Waiting    Ready     
23    4    Running    Waiting   
23    1    Ready      Running   
24    4    Waiting    Ready     
24    1    Running    Waiting   
24    2    Ready      Running   
25    1    Waiting    Ready     
25    2    Running    Terminated
25    5    Ready      Running   
26    5    Running    Waiting   
26    3    Ready      Running   
27    5    Waiting    Ready     
27    3    Running    Waiting   
27    4    Ready      Running   
28    3    Waiting    Ready     
28    4    Running    Waiting   
28    1    Ready      Running   
29    4    Waiting    Ready     
29    1    Running    Waiting   
29    5    Ready      Running   
30    1    Waiting    Ready     
30    5    Running    Waiting   
30    3    Ready      Running   
31    5    Waiting    Ready     
31    3    Running    Waiting   
31    4    Ready      Running   
32    3    Waiting    Ready     
32    4    Running    Waiting   
32    1    Ready      Running   
33    4    Waiting    Ready     
33    1    Running    Waiting   
33    5    Ready      Running   
34    1    Waiting    Ready     
34    5    Running    Waiting   
34    3    Ready      Running   
35    5    Waiting    Ready     
35    3    Running    Waiting   
35    4    Ready      Running   
36    3    Waiting    Ready     
36    4    Running    Waiting   
36    1    Ready      Running   
37    4    Waiting    Ready     
37    1    Running    Waiting   
37    5    Ready      Running   
38    1    Waiting    Ready     
38    5    Running    Waiting   
38    3    Ready      Running   
39    5    Waiting    Ready     
39    3    Running    Waiting   
39    4    Ready      Running   
40    3    Waiting    Ready     
40    4    Running    Waiting   
40    1    Ready      Running   
41    4    Waiting    Ready     
41    1    Running    Waiting   
41    5    Ready      Running   
42    1    Waiting    Ready     
42    5    Running    Waiting   
42    3    Ready      Running   
43    5    Waiting    Ready     
43    3    Running    Waiting   
43    4    Ready      Running   
44    3    Waiting    Ready     
44    4    Running    Waiting   
44    1    Ready      Running   
45    4    Waiting    Ready     
45    1    Running    Waiting   
45    5    Ready      Running   
46    1    Waiting    Ready     
46    5    Running    Waiting   
46    3    Ready      Running   
47    5    Waiting    Ready     
47    3    Running    Waiting   
47    4    Ready      Running   
48    3    Waiting    Ready     
48    4    Running    Waiting   
48    1    Ready      Running   
49    4    Waiting    Ready     
49    1    Running    Waiting   
49    5    Ready      Running   
50    1    Waiting    Ready     
50    5    Running    Terminated
50    3    Ready      Running   
51    3    Running    Waiting   
51    4    Ready      Running   
52    3    Waiting    Ready     
52    4    Running    Terminated
52    1    Ready      Running   
53    1    Running    Waiting   
53    3    Ready      Running   
54    1    Waiting    Ready     
54    3    Running    Terminated
54    1    Ready      Running   
55    1    Running    Waiting   
56    1    Waiting    Ready     
56    1    Ready      Running   
57    1    Running    Waiting   
58    1    Waiting    Ready     
58    1    Ready      Running   
59    1    Running    Terminated
